drug_name,Reviews
Glipizide XL,"My Dr. insisted I switch to Glipizide XL from glyburide. Well, this drug is NOT working at all for me, even at an increased dosage. My fasting glucose readings are 100 to 150 points higher than when I was on glyburide. But try telling and convincing a Dr. they're wrong."
Glipizide XL,"It’s been a month on Glipizide XL, and it has been life-changing for me. My condition is under much better control, and I’ve been able to return to my regular routine. I experienced very few side effects, mostly mild fatigue in the evenings, but the benefits far outweigh them."
Glipizide XL,"After a month on Glipizide XL, I feel worse than before. I had high hopes, but the side effects like dizziness, nausea, and poor sleep outweighed any small improvements. My doctor and I decided to discontinue it."
METAGLIP,"One month on METAGLIP left me very disappointed. Instead of getting better, I struggled with diarrhea, loss of appetite, and extreme tiredness. It wasn’t effective for my condition, so I wouldn’t recommend it based on my experience."
METAGLIP,"One month of using METAGLIP has been a huge relief. During the first two weeks, I noticed small improvements, and by the fourth week my symptoms were nearly gone. I haven’t felt this stable in years. The only minor issue was some trouble sleeping, but it improved with time."
METAGLIP,"I started METAGLIP about a month ago, and although I was skeptical at first, it has helped me a lot. My flare-ups have reduced, and I can eat most foods again without worry. There were slight side effects like dry mouth, but nothing too serious compared to the relief I’ve experienced."
METAGLIP,"After one month on METAGLIP, I can confidently say it has made a positive difference in my life. I used to struggle with daily activities due to my condition, but now I feel more energetic and stable. The medicine worked gradually, but by the end of the month, the results were very clear."
METAGLIP,"I tried METAGLIP for one month, but it did not go well for me. In the beginning, I thought it might help, but after two weeks I started getting constant stomach pain and fatigue. By the end of the month, my symptoms were back and worse. I had to stop taking it."
Lasix,"I have PMR, but I have recently started on Lasix for high blood pressure. Terrible pain in shoulders and thighs, which is mimicking PMR symptoms for which I take prednisone. Also very dizzy, and can't walk without holding on to something. Tired all the time."
Lasix,"I have been on Lasix for about a year. I think it's amazing! It does make my blood pressure a little low, and I've had problems with my potassium levels, but it's worth it for how well it works. I ran out of my medicine and couldn't fill my script yet. So I was without it for a week. I had severe edema"
Lasix,"After one month on Lasix, I can confidently say it has made a positive difference in my life. I used to struggle with daily activities due to my condition, but now I feel more energetic and stable. The medicine worked gradually, but by the end of the month, the results were very clear."
Lasix,"One month on Lasix left me very disappointed. Instead of getting better, I struggled with diarrhea, loss of appetite, and extreme tiredness. It wasn’t effective for my condition, so I wouldn’t recommend it based on my experience."
Lasix,"I have been on Lasix for about a month now and the changes have been noticeable. The first week was slow, but by the second week my symptoms improved steadily. I can now carry out daily tasks without constant discomfort. The side effects were minimal, just some mild headaches which went away. Overall, I feel much better."
Furosemide,"I had been told to take this medication whenever I swell up. My swelling is from toes to abdomen, also my hands and face. When I told my PA that the medication was not working, she said that a higher dose 'would make your kidneys lazy.' Comments such as this are why I insist on my husband coming in for every doctor visit."
Furosemide,I have swollen ankles and legs due to venous insufficiency. I have been taking this medication for 6 days and I'm now on day 4 of having no swelling at all. It's been a game changer for me.
Furosemide,"I have been on Furosemide for about a month now and the changes have been noticeable. The first week was slow, but by the second week my symptoms improved steadily. I can now carry out daily tasks without constant discomfort. The side effects were minimal, just some mild headaches which went away. Overall, I feel much better."
Furosemide,"I used Furosemide for 30 days, but I had a tough time. The first week gave me some relief, but soon I developed headaches, night sweats, and no real improvement in my condition. Sadly, it didn’t work for me."
Furosemide,"One month of using Furosemide has been a huge relief. During the first two weeks, I noticed small improvements, and by the fourth week my symptoms were nearly gone. I haven’t felt this stable in years. The only minor issue was some trouble sleeping, but it improved with time."
TRIBENZOR,"Great medication. My pressure prior to using Tribenzor averaged 160-170 / 90-95. It is now averaging about 130/75. I have been taking it for just over a month. Minimal side effects, mostly slight dizzy spells when getting up too quickly."
TRIBENZOR,"Took my first Tribenzor yesterday. Had a really rough night, vomiting. Will never take it again."
TRIBENZOR,"I started TRIBENZOR about a month ago, and although I was skeptical at first, it has helped me a lot. My flare-ups have reduced, and I can eat most foods again without worry. There were slight side effects like dry mouth, but nothing too serious compared to the relief I’ve experienced."
TRIBENZOR,"One month on TRIBENZOR left me very disappointed. Instead of getting better, I struggled with diarrhea, loss of appetite, and extreme tiredness. It wasn’t effective for my condition, so I wouldn’t recommend it based on my experience."
TRIBENZOR,"It’s been a month on TRIBENZOR, and it has been life-changing for me. My condition is under much better control, and I’ve been able to return to my regular routine. I experienced very few side effects, mostly mild fatigue in the evenings, but the benefits far outweigh them."
Accuretic,"It’s been a month on Accuretic, and it has been life-changing for me. My condition is under much better control, and I’ve been able to return to my regular routine. I experienced very few side effects, mostly mild fatigue in the evenings, but the benefits far outweigh them."
Accuretic,"One month on Accuretic left me very disappointed. Instead of getting better, I struggled with diarrhea, loss of appetite, and extreme tiredness. It wasn’t effective for my condition, so I wouldn’t recommend it based on my experience."
Accuretic,"After a month on Accuretic, I feel worse than before. I had high hopes, but the side effects like dizziness, nausea, and poor sleep outweighed any small improvements. My doctor and I decided to discontinue it."
Accuretic,"I started Accuretic about a month ago, and although I was skeptical at first, it has helped me a lot. My flare-ups have reduced, and I can eat most foods again without worry. There were slight side effects like dry mouth, but nothing too serious compared to the relief I’ve experienced."
Accuretic,"After one month on Accuretic, I can confidently say it has made a positive difference in my life. I used to struggle with daily activities due to my condition, but now I feel more energetic and stable. The medicine worked gradually, but by the end of the month, the results were very clear."
Rayos,"I have been on Rayos for about a month now and the changes have been noticeable. The first week was slow, but by the second week my symptoms improved steadily. I can now carry out daily tasks without constant discomfort. The side effects were minimal, just some mild headaches which went away. Overall, I feel much better."
Rayos,"I took a seven-day 50 mg dose to clear up lung congestion, used with a nebulizer 4 times a day. Mine cleared right up and felt like I had a new set of lungs, until the next flare-up. It works"
Rayos,"I tried Rayos for one month, but it did not go well for me. In the beginning, I thought it might help, but after two weeks I started getting constant stomach pain and fatigue. By the end of the month, my symptoms were back and worse. I had to stop taking it."
Rayos,"It’s been a month on Rayos, and it has been life-changing for me. My condition is under much better control, and I’ve been able to return to my regular routine. I experienced very few side effects, mostly mild fatigue in the evenings, but the benefits far outweigh them."
Rayos,"One month on Rayos left me very disappointed. Instead of getting better, I struggled with diarrhea, loss of appetite, and extreme tiredness. It wasn’t effective for my condition, so I wouldn’t recommend it based on my experience."
Prednisone,"I was diagnosed with rheumatoid arthritis in January of 2012. I tried several medications prescribed by my doctor, but nothing helped. I got to where I couldn't even get out of bed, couldn't even turn a doorknob, so I was a prisoner in my own house. I started taking Prednisone three weeks ago and feel like a new person, no pain at all anywhere."
Prednisone,"It’s been a month on Prednisone, and it has been life-changing for me. My condition is under much better control, and I’ve been able to return to my regular routine. I experienced very few side effects, mostly mild fatigue in the evenings, but the benefits far outweigh them."
Prednisone,"I have been on Prednisone for about a month now and the changes have been noticeable. The first week was slow, but by the second week my symptoms improved steadily. I can now carry out daily tasks without constant discomfort. The side effects were minimal, just some mild headaches which went away. Overall, I feel much better."
Prednisone,"I've been having pain below my glutes for about 10 weeks now. I've tried everything for it - every over-the-counter NSAID, meloxicam, herbal remedies, steroid shots, and finally, my orthopedic doctor put me on prednisone. I took 20 mg for a week and then 10 mg for two weeks. I saw the very positive reviews and thought, 'This is it.' Unfortunately, it did nothing for me. It also made me extremely constipated"
Prednisone,"I completed a month of Prednisone, but it didn’t help much. There were some minor improvements in the first week, but side effects like weight gain and mood swings made it unbearable. I will be switching to another treatment."
Ala-cort,"After a month on Ala-cort, I feel worse than before. I had high hopes, but the side effects like dizziness, nausea, and poor sleep outweighed any small improvements. My doctor and I decided to discontinue it."
Ala-cort,"It’s been a month on Ala-cort, and it has been life-changing for me. My condition is under much better control, and I’ve been able to return to my regular routine. I experienced very few side effects, mostly mild fatigue in the evenings, but the benefits far outweigh them."
Ala-cort,"I tried Ala-cort for one month, but it did not go well for me. In the beginning, I thought it might help, but after two weeks I started getting constant stomach pain and fatigue. By the end of the month, my symptoms were back and worse. I had to stop taking it."
Ala-cort,"One month of using Ala-cort has been a huge relief. During the first two weeks, I noticed small improvements, and by the fourth week my symptoms were nearly gone. I haven’t felt this stable in years. The only minor issue was some trouble sleeping, but it improved with time."
Ala-cort,"I started Ala-cort about a month ago, and although I was skeptical at first, it has helped me a lot. My flare-ups have reduced, and I can eat most foods again without worry. There were slight side effects like dry mouth, but nothing too serious compared to the relief I’ve experienced."
CLARITIN,"One month of using CLARITIN has been a huge relief. During the first two weeks, I noticed small improvements, and by the fourth week my symptoms were nearly gone. I haven’t felt this stable in years. The only minor issue was some trouble sleeping, but it improved with time."
CLARITIN,"I've been on this product for a few years. Works great. Makes me super thirsty but keeps my sinuses clear. My eyes aren't red and itchy. Even my skin has cleared up! My son was put on this, and when I saw he was doing better"
CLARITIN,"It was effective for my allergies, however, it caused many side effects that are listed nowhere! Depression, anxiety, confusion, and sleepiness that was so pronounced I had to pull over while driving. This was the Non-drowsy formula."
CLARITIN,"I have been on CLARITIN for about a month now and the changes have been noticeable. The first week was slow, but by the second week my symptoms improved steadily. I can now carry out daily tasks without constant discomfort. The side effects were minimal, just some mild headaches which went away. Overall, I feel much better."
CLARITIN,"After a month on CLARITIN, I feel worse than before. I had high hopes, but the side effects like dizziness, nausea, and poor sleep outweighed any small improvements. My doctor and I decided to discontinue it."
CLARINEX,"It seems to be helping pretty quickly. An hour and a half later, I have the side effects of dry mouth and extreme tiredness"
CLARINEX,"I took my first Clarinex 5 mg 3 hours ago. I'm nauseous, lightheaded, shaky, and tired. I'm calling my doctor to tell him I can't take it. I can't wait for it to be out of my system"
CLARINEX,"I completed a month of CLARINEX, but it didn’t help much. There were some minor improvements in the first week, but side effects like weight gain and mood swings made it unbearable. I will be switching to another treatment."
CLARINEX,"It’s been a month on CLARINEX, and it has been life-changing for me. My condition is under much better control, and I’ve been able to return to my regular routine. I experienced very few side effects, mostly mild fatigue in the evenings, but the benefits far outweigh them."
CLARINEX,"After one month on CLARINEX, I can confidently say it has made a positive difference in my life. I used to struggle with daily activities due to my condition, but now I feel more energetic and stable. The medicine worked gradually, but by the end of the month, the results were very clear."
Benadryl,"I tried Benadryl for one month, but it did not go well for me. In the beginning, I thought it might help, but after two weeks I started getting constant stomach pain and fatigue. By the end of the month, my symptoms were back and worse. I had to stop taking it."
Benadryl,"One month on Benadryl left me very disappointed. Instead of getting better, I struggled with diarrhea, loss of appetite, and extreme tiredness. It wasn’t effective for my condition, so I wouldn’t recommend it based on my experience."
Benadryl,"Read about Benadryl being used to prevent this side effect. I took 3 25 mg tablets. I know that is one over recommended dose, but I was desperate. 35 minutes later, I was sitting with my kids and not by the trash can for the first time in a while."
Benadryl,"Received Benadryl via IV in prep for a biologic infusion. My throat started swelling and my blood pressure skyrocketed. An immunologist tested me, and I showed strongly allergic to Benadryl, so it can happen"
Benadryl,"I have been on Benadryl for about a month now and the changes have been noticeable. The first week was slow, but by the second week my symptoms improved steadily. I can now carry out daily tasks without constant discomfort. The side effects were minimal, just some mild headaches which went away. Overall, I feel much better."
Diphenhydramine,"I tried Nytol 50mg for the first time to ease insomnia, but so far all it has done is keep me wide awake through the night with uncomfortable headache, dry mouth & throat, and leg pains. I should have just taken a chance with the usual three hours of sleep. Taking Nytol is such a waste and a horrible experience."
Diphenhydramine,"I found that this tablet works very well for me. I usually take one whole one at night (bearing in mind I'm used to taking prescription medications for e.g. antidepressants and tablets for overactive bladder and a low antipsychotic dose), but still, I feel good the next day after taking it."
Diphenhydramine,"After one month on Diphenhydramine, I can confidently say it has made a positive difference in my life. I used to struggle with daily activities due to my condition, but now I feel more energetic and stable. The medicine worked gradually, but by the end of the month, the results were very clear."
Diphenhydramine,"I tried Diphenhydramine for one month, but it did not go well for me. In the beginning, I thought it might help, but after two weeks I started getting constant stomach pain and fatigue. By the end of the month, my symptoms were back and worse. I had to stop taking it."
Diphenhydramine,"I have been on Diphenhydramine for about a month now and the changes have been noticeable. The first week was slow, but by the second week my symptoms improved steadily. I can now carry out daily tasks without constant discomfort. The side effects were minimal, just some mild headaches which went away. Overall, I feel much better."
METFORMIN HYDROCHLORIDE,"I started METFORMIN HYDROCHLORIDE about a month ago, and although I was skeptical at first, it has helped me a lot. My flare-ups have reduced, and I can eat most foods again without worry. There were slight side effects like dry mouth, but nothing too serious compared to the relief I’ve experienced."
METFORMIN HYDROCHLORIDE,"One month of using METFORMIN HYDROCHLORIDE has been a huge relief. During the first two weeks, I noticed small improvements, and by the fourth week my symptoms were nearly gone. I haven’t felt this stable in years. The only minor issue was some trouble sleeping, but it improved with time."
METFORMIN HYDROCHLORIDE,"Been on metformin 5 days for insulin resistance, no side effects so far. Except I am extremely happy, is this a happy pill? My SSRI never came close to this when I was on it. Seriously good mood and no anxiety"
METFORMIN HYDROCHLORIDE,"My doctor just put me on Metformin extended release 500mg twice a day, and I'm getting a lot of brain fog. I've been on it for 6 months, and I'm getting very forgetful. I wanted to know, does anybody else experience this? It's very hard to concentrate"
METFORMIN HYDROCHLORIDE,"I tried METFORMIN HYDROCHLORIDE for one month, but it did not go well for me. In the beginning, I thought it might help, but after two weeks I started getting constant stomach pain and fatigue. By the end of the month, my symptoms were back and worse. I had to stop taking it."
GLUMETZA,"Very hard on the stomach, i cant even work normally. it has reduced my blood glucose levels . Very expensive."
GLUMETZA,"For the past 22 years, I have been taking a different metformin brand. For the past 3 months, I switched to Glumetza, noticing a significant difference. Not only did it help lower my level of glucose, but also contributed to reducing my hypertension to almost a normal range"
GLUMETZA,"One month of using GLUMETZA has been a huge relief. During the first two weeks, I noticed small improvements, and by the fourth week my symptoms were nearly gone. I haven’t felt this stable in years. The only minor issue was some trouble sleeping, but it improved with time."
GLUMETZA,"After a month on GLUMETZA, I feel worse than before. I had high hopes, but the side effects like dizziness, nausea, and poor sleep outweighed any small improvements. My doctor and I decided to discontinue it."
GLUMETZA,"I have been on GLUMETZA for about a month now and the changes have been noticeable. The first week was slow, but by the second week my symptoms improved steadily. I can now carry out daily tasks without constant discomfort. The side effects were minimal, just some mild headaches which went away. Overall, I feel much better."
Duetact,"I tried Duetact for one month, but it did not go well for me. In the beginning, I thought it might help, but after two weeks I started getting constant stomach pain and fatigue. By the end of the month, my symptoms were back and worse. I had to stop taking it."
Duetact,"I started Duetact about a month ago, and although I was skeptical at first, it has helped me a lot. My flare-ups have reduced, and I can eat most foods again without worry. There were slight side effects like dry mouth, but nothing too serious compared to the relief I’ve experienced."
Duetact,"One month on Duetact left me very disappointed. Instead of getting better, I struggled with diarrhea, loss of appetite, and extreme tiredness. It wasn’t effective for my condition, so I wouldn’t recommend it based on my experience."
Duetact,"It’s been a month on Duetact, and it has been life-changing for me. My condition is under much better control, and I’ve been able to return to my regular routine. I experienced very few side effects, mostly mild fatigue in the evenings, but the benefits far outweigh them."
Duetact,"After one month on Duetact, I can confidently say it has made a positive difference in my life. I used to struggle with daily activities due to my condition, but now I feel more energetic and stable. The medicine worked gradually, but by the end of the month, the results were very clear."
Jantoven,"I've been on Jantoven for a number of years-no problems really. I have my INRs regularly every month, usually between 2 and 3 (as it should be). I would recommend it."
Jantoven,"I have a mechanical aortic valve and have been prescribed warfarin sodium to control clotting. I have used warfarin sodium for over 20 years but was given Jantoven recently as a substitute, but it caused my INR to be difficult to stabilize. Why is Jantoven different from warfarin sodium?"
Jantoven,"I started Jantoven about a month ago, and although I was skeptical at first, it has helped me a lot. My flare-ups have reduced, and I can eat most foods again without worry. There were slight side effects like dry mouth, but nothing too serious compared to the relief I’ve experienced."
Jantoven,"I tried Jantoven for one month, but it did not go well for me. In the beginning, I thought it might help, but after two weeks I started getting constant stomach pain and fatigue. By the end of the month, my symptoms were back and worse. I had to stop taking it."
Jantoven,"It’s been a month on Jantoven, and it has been life-changing for me. My condition is under much better control, and I’ve been able to return to my regular routine. I experienced very few side effects, mostly mild fatigue in the evenings, but the benefits far outweigh them."
Warfarin,"Put on Coumadin in 2008 after DVT, which ultimately turned out to have been caused by a hereditary clotting disorder (Factor V Leiden). No problems or side effects since, works like a charm. I self-test every 2 weeks with a Roche PT/INR handheld blood test kit and manage to stay in therapeutic range about 95% of the time. Couldn’t ask for much better!"
Warfarin,"It’s been a month on Warfarin, and it has been life-changing for me. My condition is under much better control, and I’ve been able to return to my regular routine. I experienced very few side effects, mostly mild fatigue in the evenings, but the benefits far outweigh them."
Warfarin,"It helped me have a stroke faster while I was active and outgoing, left me in a wheelchair with double the pain between my affected side and my back. No good. Changed my life and my family's lives also."
Warfarin,"I used Warfarin for 30 days, but I had a tough time. The first week gave me some relief, but soon I developed headaches, night sweats, and no real improvement in my condition. Sadly, it didn’t work for me."
Warfarin,"One month on Warfarin left me very disappointed. Instead of getting better, I struggled with diarrhea, loss of appetite, and extreme tiredness. It wasn’t effective for my condition, so I wouldn’t recommend it based on my experience."
Coumadin,Broken femur resulted in blood clots that caused life-threatening embolism. I was given the generic warfarin and rapidly developed thrush. Switched to brand name Coumadin and recovered after 9 days in the hospital.
Coumadin,"It helped me have a stroke faster while I was active and outgoing, left me in a wheelchair with double the pain between my affected side and my back. No good. Changed my life and my family's lives also"
Coumadin,"I started Coumadin about a month ago, and although I was skeptical at first, it has helped me a lot. My flare-ups have reduced, and I can eat most foods again without worry. There were slight side effects like dry mouth, but nothing too serious compared to the relief I’ve experienced."
Coumadin,"I completed a month of Coumadin, but it didn’t help much. There were some minor improvements in the first week, but side effects like weight gain and mood swings made it unbearable. I will be switching to another treatment."
Coumadin,"One month of using Coumadin has been a huge relief. During the first two weeks, I noticed small improvements, and by the fourth week my symptoms were nearly gone. I haven’t felt this stable in years. The only minor issue was some trouble sleeping, but it improved with time."
APIXABAN,"I've been taking Eliquis 2x daily for years, no side effects, don't feel any differently. Zero issues taking this"
APIXABAN,"One month of using APIXABAN has been a huge relief. During the first two weeks, I noticed small improvements, and by the fourth week my symptoms were nearly gone. I haven’t felt this stable in years. The only minor issue was some trouble sleeping, but it improved with time."
APIXABAN,"It’s been a month on APIXABAN, and it has been life-changing for me. My condition is under much better control, and I’ve been able to return to my regular routine. I experienced very few side effects, mostly mild fatigue in the evenings, but the benefits far outweigh them."
APIXABAN,"My wife was prescribed Eliquis. It's very expensive, $526 for a month's prescription in our case. We don't have prescription coverage, so we had to pay full price. Called Eliquis to see if they could help, but since we don't have a prescription policy, they said no help and we had to pay full price. After she took three tablets, the bleeding started from her rectum, and the doctor advised us to stop the Eliquis."
APIXABAN,"I completed a month of APIXABAN, but it didn’t help much. There were some minor improvements in the first week, but side effects like weight gain and mood swings made it unbearable. I will be switching to another treatment."
Eliquis,"I have been taking Eliquis for eight months now. I have been in and out of atrial fibrillation, and have had no problems with Eliquis. None of the side effects have appeared for me. It is easy to use and a huge improvement over warfarin."
Eliquis,"After a month on Eliquis, I feel worse than before. I had high hopes, but the side effects like dizziness, nausea, and poor sleep outweighed any small improvements. My doctor and I decided to discontinue it."
Eliquis,"Shortly after starting Eliquis, I became short of breath and developed red, itchy patches on my legs. Can hardly walk to the corner now. Feel unwell and lightheaded. Think I will look into getting off this horrible drug."
Eliquis,"After one month on Eliquis, I can confidently say it has made a positive difference in my life. I used to struggle with daily activities due to my condition, but now I feel more energetic and stable. The medicine worked gradually, but by the end of the month, the results were very clear."
Eliquis,"I started Eliquis about a month ago, and although I was skeptical at first, it has helped me a lot. My flare-ups have reduced, and I can eat most foods again without worry. There were slight side effects like dry mouth, but nothing too serious compared to the relief I’ve experienced."
Eliquis sprinkle,"It’s been a month on Eliquis sprinkle, and it has been life-changing for me. My condition is under much better control, and I’ve been able to return to my regular routine. I experienced very few side effects, mostly mild fatigue in the evenings, but the benefits far outweigh them."
Eliquis sprinkle,"After a month on Eliquis sprinkle, I feel worse than before. I had high hopes, but the side effects like dizziness, nausea, and poor sleep outweighed any small improvements. My doctor and I decided to discontinue it."
Eliquis sprinkle,"After one month on Eliquis sprinkle, I can confidently say it has made a positive difference in my life. I used to struggle with daily activities due to my condition, but now I feel more energetic and stable. The medicine worked gradually, but by the end of the month, the results were very clear."
Eliquis sprinkle,"I have been on Eliquis sprinkle for about a month now and the changes have been noticeable. The first week was slow, but by the second week my symptoms improved steadily. I can now carry out daily tasks without constant discomfort. The side effects were minimal, just some mild headaches which went away. Overall, I feel much better."
Eliquis sprinkle,"I used Eliquis sprinkle for 30 days, but I had a tough time. The first week gave me some relief, but soon I developed headaches, night sweats, and no real improvement in my condition. Sadly, it didn’t work for me."
Risvan,"I have been on Risvan for about a month now and the changes have been noticeable. The first week was slow, but by the second week my symptoms improved steadily. I can now carry out daily tasks without constant discomfort. The side effects were minimal, just some mild headaches which went away. Overall, I feel much better."
Risvan,"After one month on Risvan, I can confidently say it has made a positive difference in my life. I used to struggle with daily activities due to my condition, but now I feel more energetic and stable. The medicine worked gradually, but by the end of the month, the results were very clear."
Risvan,"One month on Risvan left me very disappointed. Instead of getting better, I struggled with diarrhea, loss of appetite, and extreme tiredness. It wasn’t effective for my condition, so I wouldn’t recommend it based on my experience."
Risvan,"One month of using Risvan has been a huge relief. During the first two weeks, I noticed small improvements, and by the fourth week my symptoms were nearly gone. I haven’t felt this stable in years. The only minor issue was some trouble sleeping, but it improved with time."
Risvan,"I used Risvan for 30 days, but I had a tough time. The first week gave me some relief, but soon I developed headaches, night sweats, and no real improvement in my condition. Sadly, it didn’t work for me."
Risperidone,"Really awful drug! It made my legs very rigid, and I had Parkinson-type symptoms. I also had difficulty sleeping. I would fall asleep easily, but I would wake up every night, and I couldn't fall back asleep no matter what I tried"
Risperidone,"Doc added 1 mg risperidone to my fluoxetine 20 mg. Miraculous effect, no intrusive thoughts. It's been 2 weeks on this drug and I'm 99 percent okay now. It's excellent for augmentation in OCD type cases. First time after 10 years of use of antidepressants, finally found the best drug"
Risperidone,"I started Risperidone about a month ago, and although I was skeptical at first, it has helped me a lot. My flare-ups have reduced, and I can eat most foods again without worry. There were slight side effects like dry mouth, but nothing too serious compared to the relief I’ve experienced."
Risperidone,"After one month on Risperidone, I can confidently say it has made a positive difference in my life. I used to struggle with daily activities due to my condition, but now I feel more energetic and stable. The medicine worked gradually, but by the end of the month, the results were very clear."
Risperidone,"One month on Risperidone left me very disappointed. Instead of getting better, I struggled with diarrhea, loss of appetite, and extreme tiredness. It wasn’t effective for my condition, so I wouldn’t recommend it based on my experience."
Risperidal,"I have been on Risperidal for about a month now and the changes have been noticeable. The first week was slow, but by the second week my symptoms improved steadily. I can now carry out daily tasks without constant discomfort. The side effects were minimal, just some mild headaches which went away. Overall, I feel much better."
Risperidal,"Risperdal is life-changing. It brings complete stability. You can thrive on this medication. Staying on this med has helped me to rebuild my life and go to college, work, and take care of my family. I’m calm and happy. There may be times you need to increase or decrease meds to find your happy place, but overall it’s a miracle drug for bipolar 1"
Risperidal,"This medication literally ruined my life. I used to be outgoing and social, but now I'm just really silent. It makes me feel really depressed and anxious. I lost passion for the things I love like music and writing. I used to study finance, but now I lost my drive to study."
Risperidal,"I completed a month of Risperidal, but it didn’t help much. There were some minor improvements in the first week, but side effects like weight gain and mood swings made it unbearable. I will be switching to another treatment."
Risperidal,"One month of using Risperidal has been a huge relief. During the first two weeks, I noticed small improvements, and by the fourth week my symptoms were nearly gone. I haven’t felt this stable in years. The only minor issue was some trouble sleeping, but it improved with time."
Lybalvi,I have had a good experience. I still have bipolar symptoms and supplement the Lybalvi with 10 mg of generic olanzapine. It has controlled the mania well. The depression is more difficult to manage. I started taking it in early July of 2022. I had been on Zyprexa for about 10 years and gained a lot of weight. I have lost 110 pounds since I began taking Lybalvi
Lybalvi,"I started Lybalvi about a month ago, and although I was skeptical at first, it has helped me a lot. My flare-ups have reduced, and I can eat most foods again without worry. There were slight side effects like dry mouth, but nothing too serious compared to the relief I’ve experienced."
Lybalvi,I was on Lybalvi 10/10 for nine months. I gained a bunch of weight. I followed the same diet I’ve been on for 32 years (Weight Watchers) and exercised 90 minutes per day. I didn’t find Lybalvi to be much better than Olanzapine.
Lybalvi,"It’s been a month on Lybalvi, and it has been life-changing for me. My condition is under much better control, and I’ve been able to return to my regular routine. I experienced very few side effects, mostly mild fatigue in the evenings, but the benefits far outweigh them."
Lybalvi,"I completed a month of Lybalvi, but it didn’t help much. There were some minor improvements in the first week, but side effects like weight gain and mood swings made it unbearable. I will be switching to another treatment."
Zyprexa,"This drug Zyprexa has SAVED my life. I take 5mg every night, and it keeps me so stable throughout the day! I'm eating again, feeling real happiness, and my head is clearer! It makes me really hungry, which is perfect because I need to gain weight. It makes me sleep so deep, it's amazing. 11/10 love Zyprexa. I can't complain"
Zyprexa,"It’s been a month on Zyprexa, and it has been life-changing for me. My condition is under much better control, and I’ve been able to return to my regular routine. I experienced very few side effects, mostly mild fatigue in the evenings, but the benefits far outweigh them."
Zyprexa,"After one month on Zyprexa, I can confidently say it has made a positive difference in my life. I used to struggle with daily activities due to my condition, but now I feel more energetic and stable. The medicine worked gradually, but by the end of the month, the results were very clear."
Zyprexa,"This drug is awful. I should've stopped from day 1. Now I'm in the 4th year and just started tapering because I'm one of the good boys that always listen to his parents and doctors. Please don't be a fool. Don't take this drug, it will make you lose years of your precious life. Better be drug-free as you know the only winner of your supposed condition is the big pharma that only wants your money every month."
Zyprexa,"I completed a month of Zyprexa, but it didn’t help much. There were some minor improvements in the first week, but side effects like weight gain and mood swings made it unbearable. I will be switching to another treatment."
Olanzapine,"I have been on Olanzapine for about a month now and the changes have been noticeable. The first week was slow, but by the second week my symptoms improved steadily. I can now carry out daily tasks without constant discomfort. The side effects were minimal, just some mild headaches which went away. Overall, I feel much better."
Olanzapine,"One month of using Olanzapine has been a huge relief. During the first two weeks, I noticed small improvements, and by the fourth week my symptoms were nearly gone. I haven’t felt this stable in years. The only minor issue was some trouble sleeping, but it improved with time."
Olanzapine,"This drug Zyprexa has SAVED my life. I take 5mg every night, and it keeps me so stable throughout the day! I'm eating again, feeling real happiness, and my head is clearer! It makes me really hungry, which is perfect because I need to gain weight. It makes me sleep so deep, it's amazing. 11/10 love Zyprexa. I can't complain."
Olanzapine,"DO NOT TAKE THIS MEDICATION FOR SLEEP! It will help you sleep for a little while, then your sleep will get worse with time, then you will not be able to sleep without it once you try getting off. I'm going on 3 and 1/2 weeks off it after a slow taper, and it has destroyed my sleep cycle."
Olanzapine,"I completed a month of Olanzapine, but it didn’t help much. There were some minor improvements in the first week, but side effects like weight gain and mood swings made it unbearable. I will be switching to another treatment."
Zuplenz,"It’s been a month on Zuplenz, and it has been life-changing for me. My condition is under much better control, and I’ve been able to return to my regular routine. I experienced very few side effects, mostly mild fatigue in the evenings, but the benefits far outweigh them."
Zuplenz,"After a month on Zuplenz, I feel worse than before. I had high hopes, but the side effects like dizziness, nausea, and poor sleep outweighed any small improvements. My doctor and I decided to discontinue it."
Zuplenz,"I started Zuplenz about a month ago, and although I was skeptical at first, it has helped me a lot. My flare-ups have reduced, and I can eat most foods again without worry. There were slight side effects like dry mouth, but nothing too serious compared to the relief I’ve experienced."
Zuplenz,"I have been on Zuplenz for about a month now and the changes have been noticeable. The first week was slow, but by the second week my symptoms improved steadily. I can now carry out daily tasks without constant discomfort. The side effects were minimal, just some mild headaches which went away. Overall, I feel much better."
Zuplenz,"One month on Zuplenz left me very disappointed. Instead of getting better, I struggled with diarrhea, loss of appetite, and extreme tiredness. It wasn’t effective for my condition, so I wouldn’t recommend it based on my experience."
Ondansetron,"After one month on Ondansetron, I can confidently say it has made a positive difference in my life. I used to struggle with daily activities due to my condition, but now I feel more energetic and stable. The medicine worked gradually, but by the end of the month, the results were very clear."
Ondansetron,"I tried Ondansetron for one month, but it did not go well for me. In the beginning, I thought it might help, but after two weeks I started getting constant stomach pain and fatigue. By the end of the month, my symptoms were back and worse. I had to stop taking it."
Ondansetron,"It’s been a month on Ondansetron, and it has been life-changing for me. My condition is under much better control, and I’ve been able to return to my regular routine. I experienced very few side effects, mostly mild fatigue in the evenings, but the benefits far outweigh them."
